Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord,2024,Nokomi,Jougi Shiraishi,Yumiya Thoma,Fairouz Ai,Patrick Ashbatten,Yuma Uchida
Doctor Elise: The Royal Lady with the Lamp,2024,mini,Maho Film,Elise de Clorance,Yui Ishikawa,Linden de Romanoff,Yohei Azakami
Earl and Fairy,2008,Ayuko,Artland,Lydia Carlton,Nana Mizuki,Edgar J. C. Ashenbert,Hikaru Midorikawa
Sugar Apple Fairy Tale,2023,Alto Yukimura,J.C.Staff,Ann Halford,Yuka Nukui,Challe Fen Challe,Masaaki Mizunaka
Kamisama Kiss,2012,Julietta Suzuki,TMS Entertainment,Nanami Momozono,Shizuka Itou,Tomoe,Shinnosuke Tachibana
My Happy Marriage,2023,Rito Kohsaka,Kinema Citrus,Miyo Saimori,Reina Ueda,Kiyoka Kudo,Kaito Ishikawa
I'm the Villainess. So I'm Taming the Final Boss,2022,Anko Yuzu,Maho Film,Aileen Lauren d'Autriche,Fairouz Ai,Claude Jean Elmeyer,Yuichiro Umehara
The Reason Why Raeliana End up at the Duke's Mansion,2023,Whala,Typhoon Graphics,Raeliana McMillan,Yume Miyamoto,Noah Voltaire Wynknight,Yuichiro Umehara
Psychic Princess,2018,Tong You,Haoliners Animation League,Qian Yunxi,Shi Zinmo,Ye Youming,San Mu
An Observation Log of My Fiancée Who Calls Herself a Villainess,2026,Natsume Hasumi,Ashi Productions,Bertia Noches,Miyu Tomita,Cecil Glo Alphasta,Yusuke Kobayashi
Wolf Girl and Black Prince,2014,Ayuko Hatta,TYO Animations,Erika Shinohara,Kanae Ito,Kyouya Sata,Takahiro Sakurai
Kotoura-san,2013,Enokizu,AIC Classic,Haruka Kotoura,Hisako Kanemoto,Yoshihisa Manabe,Yoshitsugu Matsuoka

